Article_ID,News_Title,Source,Category,Sentiment,Bias_Type,Engagement
1,News Article 1,Media A,Economy,Positive,Neutral,3155
2,News Article 2,Media B,Education,Negative,Left,3227
3,News Article 3,Media A,Economy,Negative,Right,9119
4,News Article 4,Media B,Finance,Neutral,Neutral,3572
5,News Article 5,Media B,Environment,Positive,Neutral,4619
6,News Article 6,Media D,Education,Negative,Neutral,8747
7,News Article 7,Media A,Health,Neutral,Right,4193
8,News Article 8,Media B,Technology,Negative,Neutral,2291
9,News Article 9,Media D,Technology,Positive,Neutral,3356
10,News Article 10,Media C,Politics,Positive,Right,2428
11,News Article 11,Media B,Health,Negative,Right,8747
12,News Article 12,Media A,Politics,Negative,Neutral,3164
13,News Article 13,Media D,Health,Neutral,Right,7136
14,News Article 14,Media D,Environment,Positive,Left,6461
15,News Article 15,Media D,Education,Neutral,Neutral,8646
16,News Article 16,Media D,Finance,Positive,Right,8020
17,News Article 17,Media B,Politics,Neutral,Right,4624
18,News Article 18,Media A,Health,Negative,Right,3673
19,News Article 19,Media A,Health,Positive,Right,3914
20,News Article 20,Media D,Environment,Positive,Right,3856
21,News Article 21,Media A,Politics,Negative,Right,3985
22,News Article 22,Media B,Finance,Positive,Left,4390
23,News Article 23,Media D,Finance,Negative,Right,4039
24,News Article 24,Media A,Education,Negative,Left,9401
25,News Article 25,Media D,Finance,Negative,Neutral,6676
26,News Article 26,Media A,Technology,Negative,Left,9081
27,News Article 27,Media D,Health,Neutral,Neutral,8491
28,News Article 28,Media D,Technology,Neutral,Left,5414
29,News Article 29,Media C,Education,Negative,Neutral,2697
30,News Article 30,Media C,Economy,Negative,Neutral,7006
31,News Article 31,Media D,Politics,Positive,Right,6691
32,News Article 32,Media C,Health,Positive,Neutral,6822
33,News Article 33,Media D,Technology,Positive,Left,5220
34,News Article 34,Media C,Politics,Neutral,Right,3606
35,News Article 35,Media A,Finance,Neutral,Neutral,9595
36,News Article 36,Media D,Politics,Negative,Neutral,6409
37,News Article 37,Media C,Environment,Negative,Right,2343
38,News Article 38,Media D,Education,Positive,Neutral,9832
39,News Article 39,Media A,Environment,Neutral,Left,5407
40,News Article 40,Media C,Technology,Positive,Neutral,5337
41,News Article 41,Media C,Technology,Positive,Right,5459
42,News Article 42,Media B,Finance,Neutral,Left,7225
43,News Article 43,Media C,Health,Positive,Left,3888
44,News Article 44,Media B,Health,Neutral,Left,6433
45,News Article 45,Media A,Environment,Positive,Neutral,6315
46,News Article 46,Media B,Health,Neutral,Right,4352
47,News Article 47,Media B,Politics,Positive,Left,7755
48,News Article 48,Media A,Health,Negative,Right,5519
49,News Article 49,Media D,Education,Neutral,Left,5433
50,News Article 50,Media C,Technology,Positive,Right,7493
51,News Article 51,Media B,Education,Neutral,Right,2025
52,News Article 52,Media B,Environment,Neutral,Neutral,9420
53,News Article 53,Media C,Economy,Positive,Left,2467
54,News Article 54,Media A,Education,Positive,Left,5289
55,News Article 55,Media C,Politics,Negative,Left,6492
56,News Article 56,Media C,Education,Neutral,Right,2774
57,News Article 57,Media B,Environment,Negative,Neutral,9312
58,News Article 58,Media C,Politics,Positive,Left,6415
59,News Article 59,Media B,Environment,Positive,Right,7871
60,News Article 60,Media C,Technology,Neutral,Neutral,4149
61,News Article 61,Media B,Economy,Positive,Neutral,5478
62,News Article 62,Media C,Education,Positive,Neutral,8673
63,News Article 63,Media A,Health,Positive,Right,8124
64,News Article 64,Media D,Politics,Negative,Left,3571
65,News Article 65,Media A,Technology,Negative,Neutral,2969
66,News Article 66,Media D,Education,Neutral,Left,9358
67,News Article 67,Media A,Technology,Neutral,Neutral,4858
68,News Article 68,Media B,Finance,Negative,Left,4217
69,News Article 69,Media D,Technology,Neutral,Neutral,4416
70,News Article 70,Media B,Finance,Positive,Neutral,7540
71,News Article 71,Media A,Education,Neutral,Right,7390
72,News Article 72,Media A,Economy,Negative,Neutral,4143
73,News Article 73,Media D,Finance,Neutral,Right,2374
74,News Article 74,Media D,Technology,Neutral,Neutral,6406
75,News Article 75,Media D,Education,Neutral,Neutral,3095
76,News Article 76,Media D,Technology,Positive,Right,7111
77,News Article 77,Media A,Technology,Negative,Right,4223
78,News Article 78,Media A,Environment,Neutral,Neutral,8075
79,News Article 79,Media B,Economy,Negative,Neutral,5074
80,News Article 80,Media B,Politics,Negative,Left,3106
81,News Article 81,Media A,Health,Negative,Left,6309
82,News Article 82,Media A,Economy,Negative,Left,9241
83,News Article 83,Media C,Health,Negative,Neutral,5106
84,News Article 84,Media B,Education,Positive,Neutral,6817
85,News Article 85,Media D,Health,Neutral,Neutral,3766
86,News Article 86,Media A,Technology,Positive,Right,6206
87,News Article 87,Media D,Technology,Positive,Neutral,4316
88,News Article 88,Media D,Health,Neutral,Right,8553
89,News Article 89,Media D,Politics,Neutral,Right,7416
90,News Article 90,Media C,Technology,Positive,Left,8845
91,News Article 91,Media A,Health,Negative,Left,3285
92,News Article 92,Media C,Health,Positive,Left,2686
93,News Article 93,Media B,Education,Negative,Neutral,9738
94,News Article 94,Media A,Economy,Positive,Neutral,9257
95,News Article 95,Media B,Health,Neutral,Neutral,2682
96,News Article 96,Media D,Finance,Neutral,Right,4570
97,News Article 97,Media A,Politics,Negative,Right,9462
98,News Article 98,Media B,Economy,Neutral,Neutral,4807
99,News Article 99,Media D,Education,Neutral,Neutral,4566
100,News Article 100,Media C,Politics,Positive,Left,9409
